,price_per_sqft,city,county,state,streetAddress,bedrooms,bathrooms,price,livingAreaValue,lotSize_sqft,yearBuilt,zipcode,rentZestimate,zestimate,propertyTaxRate,neighborhoodRegion_name,agentName,agent_businessName,architecture_style,year_built,agency_compensation%
0,919.2081850533808,San Jose,Santa Clara County,CA,0 Bertram Rd,3.085964912280702,2.2530755711775043,700000,1826.2568965517241,13076.0,,95120,,,0.77,,Dan Belveal,Belveal Properties,,,
1,919.2081850533808,San Jose,Santa Clara County,CA,0 Telegraph Dr,3.085964912280702,2.2530755711775043,200000,1826.2568965517241,2347.0,,95132,,,0.77,Berryessa,Dan Belveal,Belveal Properties,,,
2,1157.0,San Francisco,San Francisco County,CA,1 Hawthorne St UNIT 17F,2.0,2.0,1598000,1381.0,12410.0,2010,94105,5899,1571900,0.67,South of Market,Connie Chung,Willowmar Real Estate,Contemporary,2010,2.5
3,1126.0,San Francisco,San Francisco County,CA,1 Stanyan St #21,2.0,2.0,1385000,1230.0,7603.0,2018,94118,5100,1385100,0.67,Lone Mountain,Natalie Rome,Compass,Modern/High Tech,2018,2.5
4,919.2081850533808,San Francisco,San Francisco County,CA,100 Duboce Ave #A2,0.0,1.0,598000,0.0,4499.0,0,94103,,,0.67,South of Market,Loring M. Aguillon-Racine,JS Sullivan Sales and Marketin,"Contemporary,Modern/High Tech",0,2.5
5,1288.0,San Francisco,San Francisco County,CA,100 Duboce Ave #G4,2.0,2.0,1298000,1008.0,4499.0,0,94103,,,0.67,South of Market,Loring M. Aguillon-Racine,JS Sullivan Sales and Marketin,"Contemporary,Modern/High Tech",0,2.5
6,1715.0,San Francisco,San Francisco County,CA,1000 N Point St APT 1505,0.0,1.0,650000,379.0,26401.0,1963,94109,5424,646400,0.0,Aquatic Park,David Parry,Sotheby's International Realty,Mid-Century,1963,2.5
7,1021.0,San Francisco,San Francisco County,CA,1001 Pine St UNIT 509,1.0,1.0,629000,616.0,18906.0,1963,94109,3190,628600,0.67,Lower Nob Hill,Ilya C. Tsay,Vanguard Properties,,1963,2.5
8,1011.0,San Jose,Santa Clara County,CA,10060 Kenilworth Way,2.0,1.0,849000,840.0,9252.0,1953,95127,2699,785700,0.77,,Martin Chavez,Intero Real Estate Services,,1953,
9,932.0,San Francisco,San Francisco County,CA,101 Lombard St APT 104E,1.0,1.0,960000,1030.0,113438.0,1983,94111,,,0.67,Telegraph Hill,Lisa M. Marroquin,Park North Real Estate,Contemporary,1983,2.5
10,850.0,San Francisco,San Francisco County,CA,101 Lombard St APT 714W,1.0,1.0,875000,1030.0,0.0,1983,94111,3899,868243,0.67,Telegraph Hill,Gail Y. Grendahl,Compass,Contemporary,1983,2.5
11,1034.0,San Francisco,San Francisco County,CA,1050 N Point St APT 206,1.0,1.0,699000,676.0,26401.0,1963,94109,3300,699000,0.0,Aquatic Park,Aaron M Bellings,Compass,"Contemporary,Mid-Century",1963,2.5
12,892.0,San Francisco,San Francisco County,CA,1050 N Point St APT 302,2.0,1.0,899000,1008.0,26401.0,1963,94109,4500,907433,0.67,Aquatic Park,Silvia E. Damen,"eXp Realty of California, Inc",,1963,2.5
13,1267.0,San Francisco,San Francisco County,CA,1050 N Point St APT 305,0.0,1.0,489000,386.0,26401.0,1963,94109,5650,489000,0.0,Aquatic Park,Mimi A. Bruce,Compass,Mid-Century,1963,2.5
14,975.0,San Jose,Santa Clara County,CA,1064 Big Sur Dr,3.0,3.0,1499000,1538.0,3075.0,1985,95120,3399,1510588,0.77,Almaden Valley,Farhad Ettehad,Americhoice Inc,,1985,
15,855.0,San Jose,Santa Clara County,CA,1065 Woodbine Way,2.0,2.0,1479000,1730.0,7562.0,1959,95117,3599,1533900,0.77,West San Jose,Diane Leland,Legacy Real Estate & Associates,,1959,
16,687.0,San Jose,Santa Clara County,CA,1069 Mazzone Dr,4.0,3.0,2250000,3273.0,8786.0,1979,95120,5999,2250000,0.77,Almaden Valley,Yost Group,Coldwell Banker Realty,Traditional,1979,
17,663.0,San Jose,Santa Clara County,CA,1086 Bigleaf Pl UNIT 102,3.0,3.0,1250000,1884.0,8884.478927203065,2016,95131,4235,1265764,0.77,North Valley,Serena Zhang,Coldwell Banker Realty,,2016,
18,960.0,Santa Clara,Santa Clara County,CA,1095 Madison St,4.0,2.0,1498000,1560.0,5989.0,1906,95050,4550,1560500,0.77,,Henry Huan Ton,NNY Real Estate Services,,1906,
20,828.0,San Francisco,San Francisco County,CA,1101 Silliman St,3.0,2.0,1200000,1450.0,1742.0,1974,94134,4498,944900,0.67,University Mound,Suzanne Rocha,Cal Home,Traditional,1974,2.50
21,586.0,San Jose,Santa Clara County,CA,1103 Dinkel Ct,3.0,3.0,949000,1619.0,2103.0,1981,95118,3811,959662,0.77,Cambrian Park,John Wunderlich,Wunderlich Realty,,1981,
22,1073.0,San Francisco,San Francisco County,CA,112 Yukon St,3.0,3.0,1995000,1859.0,1934.0,1941,94114,7500,2110400,0.67,Eureka Valley,Anthony L. Koutsos,KW Advisors,,1941,2.5
23,561.0,San Francisco,San Francisco County,CA,1123 Clay St,3.085964912280702,0.0,2850000,5076.0,1912.0,1921,94108,2795,2820000,0.67,Nob Hill,Carlos Moralejo,Marcus & Millichap,,1921,2.5
24,856.0,San Jose,Santa Clara County,CA,1126 Flaxwood St,4.0,3.0,2300000,2688.0,8306.0,1986,95120,5499,2300484,0.77,Almaden Valley,Kenneth Lutz,Intero Real Estate Services,,1986,
25,880.0,Santa Clara,Santa Clara County,CA,113 Cronin Dr,3.0,3.0,1750000,1988.0,7688.0,1958,95051,5249,1813636,0.77,,Wister Chu,Coldwell Banker Realty,Ranch,1958,
26,847.0,Santa Clara,Santa Clara County,CA,1134 Pomeroy Ave,4.0,3.0,1249800,1476.0,653.0,1963,95051,4350,1299791,0.77,,Jenny Deng,Coldwell Banker Realty,Eichler,1963,
27,1064.0,San Jose,Santa Clara County,CA,1137 Campbell Ave,2.0,1.0,958000,900.0,3397.0,1937,95126,,,0.77,North San Jose,Carl San Miguel,Highland Properties,Spanish,1937,
28,951.0,San Francisco,San Francisco County,CA,114 Albion St,2.0,1.0,699000,735.0,0.0,0,94110,,,0.67,Mission Dolores,Anthony L. Koutsos,KW Advisors,,0,2.5%
29,919.2081850533808,San Francisco,San Francisco County,CA,1148 Montgomery St #F,0.0,1.0,449000,0.0,2326.0,1906,94133,,,0.67,Telegraph Hill,Laura A. Rogers,Compass,,1906,2.5%
30,454.0,San Francisco,San Francisco County,CA,115 Plymouth Ave #C,4.0,2.0,999950,2203.0,3500.0,0,94112,,,0.67,,Dung Quoc Tran,RE/MAX Gold Daly City,,0,2.5
31,784.0,San Jose,Santa Clara County,CA,1154 Angmar Ct,3.0,2.0,1350000,1722.0,6185.0,1977,95121,3913,1370659,0.77,Edenvale - Seven Trees,Thu Le,Alliance Bay Realty,,1977,
32,1202.0,San Francisco,San Francisco County,CA,1170 Sacramento St APT 5A,2.0,3.0,2495000,2075.0,0.0,1963,94108,,,0.67,Nob Hill,Alexander Hachiya,Sotheby's International Realty,,1963,2.5
33,832.0,San Francisco,San Francisco County,CA,1175 Burrows St,3.0,2.0,1300000,1562.0,2495.0,1958,94134,4500,1094700,0.67,University Mound,Joshua M Scerri,Livxplore RE & Lifestyle,Traditional,1958,2.5
34,1070.0,San Francisco,San Francisco County,CA,1177 California St APT 625,1.0,1.0,699000,653.0,31663.0,1978,94108,3200,722700,0.67,Nob Hill,Sam Buckwalter,Compass,Traditional,1978,2.5
35,430.0,San Francisco,San Francisco County,CA,1179 Palou Ave,6.0,4.0,799000,1857.0,2495.0,1961,94124,5100,1013800,0.67,Hunters Point,Hoi Yin Fion Yau,Coldwell Banker Realty,,1961,2.5
36,864.0,San Francisco,San Francisco County,CA,1187 Burrows St,3.0,2.0,1350000,1562.0,2500.0,1958,94134,4500,1383900,0.67,University Mound,The Patty Dwyer Group,Compass,,1958,
37,815.0,San Jose,Santa Clara County,CA,1187 Krebs Ct,4.0,3.0,1468000,1802.0,3959.0,1988,95131,4200,1432048,0.77,North Valley,David Lee,"Christopher Lee, broker",,1988,
38,826.0,San Francisco,San Francisco County,CA,119 Middlefield Dr,4.0,2.0,1499000,1815.0,3301.0,1950,94132,5100,,0.67,Merced Manor,Tanya Bolshakoff,Compass,Mid-Century,1950,2.5
39,964.0,San Francisco,San Francisco County,CA,120-122 Alpine Ter,4.0,2.0,2395000,2485.0,2674.0,1900,94117,4749,2425075,0.67,Buena Vista,Sunae K. Chon,Avenue 8 Inc.,Victorian,1900,2.5%
40,927.0,San Francisco,San Francisco County,CA,120 Putnam St,3.0,4.0,2900000,3128.0,1742.0,1923,94110,10999,2963900,0.67,Bernal Heights,Frank Valdez,Compass,Other,1923,2.5
41,930.0,San Francisco,San Francisco County,CA,1200 Gough St UNIT 23A,2.0,2.0,1395000,1500.0,44675.0,1966,94109,6439,1395000,0.67,Cathedral Hill,Gregory R. Onzo-Tasher,Vanguard Properties,Contemporary,1966,2.50
42,910.0,San Francisco,San Francisco County,CA,1200 Gough St UNIT 9D,1.0,1.0,819000,900.0,44675.0,1966,94109,,,0.67,Cathedral Hill,Michael H. Shaw,Vanguard Properties,Mid-Century,1966,2.5
43,628.0,San Francisco,San Francisco County,CA,1200 Pacific Ave,6.0,3.0,2695000,4290.0,2308.0,1913,94109,,,0.67,Russian Hill,John M. Antonini,Compass,,1913,2.5
44,1129.0,San Jose,Santa Clara County,CA,1216 Champagne Ln,3.0,2.0,1495000,1324.0,6921.0,1959,95132,3614,1462750,0.77,Berryessa,Valerie Trang,Infiniti Real Estate,,1959,
45,545.0,San Francisco,San Francisco County,CA,1227 Masonic Ave,3.085964912280702,0.0,3350000,6150.0,2996.0,1905,94117,,,0.67,Haight,Clinton Textor,Marcus & Millichap,,1905,2%
46,673.0,San Francisco,San Francisco County,CA,1227 Waller St,6.0,4.0,2895000,4300.0,3150.0,1904,94117,3199,,0.67,Buena Vista,Mark E. Best,Coldwell Banker Realty,Edwardian,1904,2.5
47,1331.0,San Jose,Santa Clara County,CA,1235 Magnolia Ave,2.0,1.0,1288000,968.0,5362.0,1937,95126,3195,1302890,0.77,Downtown,Rachel Regal,Coldwell Banker Realty,,1937,
48,1348.0,San Francisco,San Francisco County,CA,1238 Sutter St UNIT 405,2.0,1.0,929000,689.0,4830.0,2018,94109,3699,929004,0.67,Lower Nob Hill,Grant Edward Beggs,Sotheby's International Realty,Modern/High Tech,2018,2.5
49,696.0,San Francisco,San Francisco County,CA,124-126 Ortega St,6.0,0.0,2380000,3420.0,2750.0,1967,94122,,,0.67,Golden Gate Heights,Noreleen C. de Mesa,Clarin Realty Inc.,,1967,2.5
50,660.0,San Francisco,San Francisco County,CA,1245 Hayes St,3.085964912280702,0.0,2375000,3600.0,3438.0,1951,94117,,,0.67,Alamo Square,Adam D. Filly,Compass,,1951,2.0
51,721.0,San Francisco,San Francisco County,CA,125 Oxford St,2.0,1.0,865000,1200.0,3001.0,1930,94134,3699,,0.67,University Mound,Daniel Hendel,Coldwell Banker Realty,"Marina,Mediterranean",1930,2.5
52,1636.0,San Francisco,San Francisco County,CA,1250 Montgomery St,3.0,4.0,4500000,2750.0,3151.0,1995,94133,13727,4348567,0.67,Telegraph Hill,Joan J. Smith,Compass,Traditional,1995,2.5
53,433.0,San Francisco,San Francisco County,CA,1255-1257 19th Ave,7.0,3.0,1495000,3450.0,2247.0,1905,94122,4300,1685500,0.67,Outer Sunset,Kevin Birmingham,Park North Real Estate,,1905,2.5
54,736.0,San Francisco,San Francisco County,CA,1266 15th Ave,4.0,2.2530755711775043,1790000,2432.0,3188.0,1923,94122,,,0.67,,Cullinan Luxury,KW Advisors,Edwardian,1923,
55,962.0,San Francisco,San Francisco County,CA,1267 Masonic Ave,3.0,2.0,1649000,1715.0,3454.0,1904,94117,6249,1764800,0.67,Haight,Jason H. Hoffman,Compass,Victorian,1904,3
56,1760.0,San Francisco,San Francisco County,CA,1268 Lombard St #1,3.0,3.0,4488000,2550.0,4261.0,2013,94109,,,0.67,Russian Hill,Kevin Wakelin,Compass,"Contemporary,Modern/High Tech",2013,2.5
57,751.0,San Jose,Santa Clara County,CA,1268 Sierra Mar Dr,5.0,3.0,1726888,2300.0,5841.0,1956,95118,5650,1683081,0.77,Willow Glen,Hyrum Gray,Lyon RE Downtown,,1956,2.5
58,608.0,San Jose,Santa Clara County,CA,1276 Valdosta Rd,3.0,2.0,950000,1563.0,3515.0,1976,95121,3999,1053400,0.77,Edenvale - Seven Trees,Mark DeTar,Compass,,1976,
59,523.0,San Jose,Santa Clara County,CA,130 E San Fernando St APT 418,2.0,2.0,849000,1622.0,8884.478927203065,1998,95112,3697,852000,0.77,Downtown,Amanda Vang,Real Estate Experts,,1998,
60,1142.0,San Francisco,San Francisco County,CA,130 Rivoli St,3.0,2.0,2295000,2010.0,2617.0,1903,94117,,,0.67,Ashbury Heights,Christiane Gigas,Sotheby's International Realty,Traditional,1903,2.50
61,1073.0,San Francisco,San Francisco County,CA,1321 De Haro St,4.0,5.0,3995000,3722.0,3484.0,2022,94107,9658,2866300,0.67,Potrero Hill,Ryan Johnson,Legacy Real Estate & Assoc.,Contemporary,2022,2.5
62,792.0,San Jose,Santa Clara County,CA,1326 Milton Way,3.0,2.0,859950,1086.0,6298.0,1938,95125,3799,1303100,0.77,Willow Glen,Steve Garrido,Coldwell Banker Realty,Cottage,1938,
63,639.0,San Francisco,San Francisco County,CA,1330 42nd Ave,5.0,4.0,1798000,2815.0,2996.0,1907,94122,4500,,0.67,Outer Sunset,Calvin M. Kam,Compass,Edwardian,1907,2.5
64,919.2081850533808,San Francisco,San Francisco County,CA,1335 Filbert St APT 106,2.0,1.0,1198000,0.0,7832.0,0,94109,4894,1221989,0.67,Russian Hill,Kristen Stuecher,Compass,"Edwardian,Modern/High Tech,Traditional",0,2.5
65,1035.0,San Francisco,San Francisco County,CA,1337 Natoma St APT 3,2.0,3.0,1400000,1353.0,0.0,1906,94103,4992,1226400,0.67,Mission,Carlos Rodriguez,Compass,Contemporary,1906,2.5
66,719.0,San Francisco,San Francisco County,CA,1338-1340 17th Ave,4.0,2.0,1798000,2500.0,2996.0,1946,94122,4450,1935300,0.67,Inner Sunset,Michael Y. Klestoff,"West & Praszker, REALTORS®",,1946,2.5
67,849.0,San Francisco,San Francisco County,CA,134 Langton St,2.0,2.0,849000,1000.0,1990.0,1906,94103,3999,852900,0.67,South of Market,Christian Buckley,Vanguard Properties,Traditional,1906,2.5
68,1059.0,San Francisco,San Francisco County,CA,1340 Plymouth Ave,5.0,6.0,2488000,2349.0,3920.0,1917,94112,5994,2606436,0.67,Westwood Park,Leo Zhang,Re/Max Accord,Contemporary,1917,2.5
69,951.0,San Francisco,San Francisco County,CA,1345 Visitacion Ave,2.0,1.0,1198000,1260.0,2395.0,1951,94134,3499,1247300,0.67,Visitacion Valley,Augusto B. Delacruz,Royal Pacific Mortgage,,1951,2.5
70,235.0,San Jose,Santa Clara County,CA,135 Mountain Springs Dr UNIT 135,2.0,2.0,339000,1440.0,8884.478927203065,1976,95136,,,0.77,Fairgrounds,Michael R. Perrelli,,,1976,
71,753.0,San Jose,Santa Clara County,CA,1353 Karl St,5.0,2.0,1288888,1711.0,5916.0,1961,95122,3835,1310558,0.77,East San Jose,Ed Ho,"Ed Ho, Broker",,1961,2.500
72,479.0,San Jose,Santa Clara County,CA,1354 Essex Way,10.0,2.2530755711775043,1880000,3928.0,7644.0,1967,95117,3879,1905739,0.77,West San Jose,Jimmy Castellanos,Marcus & Millichap,,1967,
73,906.0,Fremont,Alameda County,CA,136 Mill Creek Rd,5.0,4.0,3098000,3419.0,7840.0,1956,94539,8406,3074900,0.81,Mission San Jose,Joseph Sabeh Jr,Venture Sotheby's Intl Rlty,Custom,1956,2.25
74,831.0,San Francisco,San Francisco County,CA,1360-1362 Rhode Island St,3.0,3.0,1985000,2390.0,2500.0,1910,94107,4975,2045800,0.67,Potrero Hill,Judy Meuschke,Compass,Victorian,1910,2.5
75,750.0,San Jose,Santa Clara County,CA,1363 Marcello Dr,3.0,2.0,1159000,1546.0,8884.478927203065,2011,95131,3774,1140200,0.77,North Valley,Lily Li,Maxreal,,2011,
76,1097.0,San Francisco,San Francisco County,CA,1370 25th Ave,5.0,4.0,2895000,2640.0,2996.0,1912,94122,9444,2960795,0.67,Outer Sunset,Anthony L. Koutsos,KW Advisors,,1912,2.5
77,694.0,San Francisco,San Francisco County,CA,1371 21st Ave,4.0,4.0,1579000,2276.0,2996.0,1931,94122,5249,1750000,0.67,Outer Sunset,Amy Lui,Compass,Marina,1931,2.5
78,653.0,San Jose,Santa Clara County,CA,1375 Lick Ave APT 229,2.0,2.0,749950,1148.0,8884.478927203065,2009,95110,3349,756819,0.77,Fairgrounds,Jim Myrick,KW Bay Area Estates,,2009,
79,542.0,San Francisco,San Francisco County,CA,1378-1382 Alabama St,9.0,2.2530755711775043,1499000,2768.0,2495.0,1900,94110,4997,1649900,0.67,Mission,Cameron McIntosh,Compass,,1900,
80,1089.0,San Francisco,San Francisco County,CA,138 28th Ave,3.0,3.0,2995000,2750.0,3881.0,1923,94121,9995,3072800,0.67,Seacliff,Mary Lou Castellanos,Sotheby's International Realty,Traditional,1923,2.5
81,688.0,San Francisco,San Francisco County,CA,1383 Revere Ave,2.0,2.0,1133333,1648.0,2495.0,1910,94124,3999,1187700,0.67,Bayview,Monique Kenner,Coldwell Banker Kappel Gateway,,1910,2
82,553.0,San Francisco,San Francisco County,CA,139-143 Blake St,14.0,2.2530755711775043,1598000,2890.0,3001.0,1900,94118,4900,1981600,0.67,Lone Mountain,Alex Lehr,Guide Real Estate,Edwardian,1900,
83,604.0,San Jose,Santa Clara County,CA,1390 Saddle Rack St APT 422,3.0,2.0,850000,1407.0,8884.478927203065,2004,95126,3679,856200,0.77,Downtown,Justin Carrow,Intero Real Estate Services,,2004,
84,891.0,San Francisco,San Francisco County,CA,14 Parsons St,6.0,2.0,2496000,2800.0,2374.0,1906,94118,,,0.67,Lone Mountain,Donald Sambucci,Sotheby's International Realty,Victorian,1906,2.5
85,948.0,San Francisco,San Francisco County,CA,140 Caine Ave,2.0,1.0,948000,1000.0,2500.0,1931,94112,3249,,0.67,Oceanview,Robert W. Mitchell,Corcoran Global Living,Spanish,1931,2.5
86,916.0,San Francisco,San Francisco County,CA,140 S Van Ness Ave #1143,1.0,1.0,809000,883.0,43147.0,2002,94103,3899,819589,0.67,South of Market,Paula Y. Rose,Corcoran Global Living,Modern/High Tech,2002,2.5
87,858.0,San Francisco,San Francisco County,CA,140 S Van Ness Ave UNIT 501,3.0,2.0,1549000,1805.0,43147.0,2002,94103,,,0.67,South of Market,Carter Waite,Compass,"Contemporary,Modern/High Tech",2002,2.5%
88,824.0,San Francisco,San Francisco County,CA,140 S Van Ness Ave UNIT 630,1.0,1.0,655000,795.0,43147.0,2002,94103,3870,662000,0.67,South of Market,Lawrence Franzella,Intero Real Estate Services,Contemporary,2002,2.5
89,1111.0,San Jose,Santa Clara County,CA,1400 Annapolis Way,3.0,2.0,1200000,1080.0,6115.0,1963,95118,3800,1220176,0.77,Cambrian Park,Peggy Wheeler,Jardine Wheeler Re Brokerage,Traditional,1963,
90,1009.0,Santa Clara,Santa Clara County,CA,1436 Jefferson St,3.0,2.0,1799888,1784.0,5218.0,1977,95050,4483,1591200,0.77,,Danny Gould,eXp Realty of California Inc,,1977,
91,871.0,San Jose,Santa Clara County,CA,1442 Mardan Dr,4.0,3.0,1600000,1836.0,5898.0,1969,95132,4200,1633306,0.77,Berryessa,Mona Lee DeVlaminck,Elevate Group,Tract,1969,
92,1328.0,San Francisco,San Francisco County,CA,1443 Lombard St,5.0,2.2530755711775043,3988888,3004.0,2657.0,1925,94123,5249,4007102,0.67,Union Street,Larry Le,"PHP Group, Inc",,1925,
93,1023.0,San Jose,Santa Clara County,CA,1447 Cherrydale Dr,3.0,2.0,1699000,1661.0,7148.0,1957,95125,4500,1725000,0.77,Willow Glen,Patrick Farnsworth,Christie's International Real Estate Sereno,Ranch,1957,
94,744.0,San Francisco,San Francisco County,CA,1447 Quesada Ave,0.0,1.0,799999,1075.0,2613.0,1931,94124,4400,819600,0.67,Bayview,Keenan Howard,"Keenan Howard Realty, Inc.",Other,1931,2
95,883.0,San Francisco,San Francisco County,CA,145 Gardenside Dr APT 12,1.0,1.0,759000,860.0,38735.0,1981,94131,,,0.67,Upper Market,Jeffrey P. Banks,Compass,,1981,2.5
96,841.0,San Francisco,San Francisco County,CA,145 Lisbon St,3.0,2.0,1199000,1425.0,2500.0,1960,94112,3998,1033900,0.67,Excelsior,Kelly Murdock,Excel Realty,Other,1960,2.5
97,524.0,San Jose,Santa Clara County,CA,1451 Sunny Ct,4.0,3.0,1150000,2196.0,4399.0,2006,95116,4300,1150000,0.77,Downtown,Gabriel Nguyen,Coldwell Banker Realty,,2006,
98,898.0,San Francisco,San Francisco County,CA,1455 Monterey Blvd,4.0,4.0,2895000,3225.0,6538.0,1930,94127,7500,3040411,0.67,Balboa Terrace,Andrew Herrera II,Berkshire Hathaway-Franciscan,"Mediterranean,Spanish",1930,2.75
99,809.0,San Francisco,San Francisco County,CA,1457 Hayes St,2.0,2.0,1295000,1600.0,3423.0,1900,94117,,,0.67,Panhandle,Joan H. Peat,Coldwell Banker Realty,Victorian,1900,2.5
101,1130.0,San Francisco,San Francisco County,CA,1462 30th Ave,3.0,2.0,1695000,1500.0,3001.0,1928,94122,,,0.67,Outer Sunset,John F. Sweeney,Compass,"Mediterranean,Spanish",1928,2.5
102,731.0,San Francisco,San Francisco County,CA,1463-1465 Pacific Ave,6.0,3.0,1988000,2720.0,1459.0,1908,94109,,,0.67,Nob Hill,Debi Green,Sotheby's International Realty,Edwardian,1908,2.5
103,1086.0,San Francisco,San Francisco County,CA,147 Peralta Ave,4.0,4.0,3050000,2808.0,1751.0,1910,94110,5949,3062978,0.67,Peralta Heights,Alan Canas,Coldwell Banker Realty,,1910,
104,704.0,San Jose,Santa Clara County,CA,1475 De Rose Way APT 247,2.0,1.0,679998,966.0,8884.478927203065,1976,95126,2799,687800,0.77,Willow Glen,Karen Nelsen,Intero Real Estate Services,,1976,
105,869.0,San Francisco,San Francisco County,CA,1483 Sutter St UNIT 402,1.0,1.0,565000,650.0,48634.0,1993,94109,3280,556000,0.67,Cathedral Hill,Mary Ann Montano,Coldwell Banker Realty,,1993,2.5
106,886.0,San Francisco,San Francisco County,CA,1483 Sutter St UNIT 906,2.0,2.0,999000,1128.0,48634.0,1993,94109,5100,1001000,0.67,Cathedral Hill,Mary Ann Montano,Coldwell Banker Realty,,1993,2.5
107,799.0,San Francisco,San Francisco County,CA,1487 19th Ave,3.0,1.0,979000,1225.0,2347.0,1922,94122,4200,1172200,0.67,Outer Sunset,Andrew de Vries,Berkshire Hathaway-Franciscan,Traditional,1922,2.5
108,816.0,San Francisco,San Francisco County,CA,1506 41st Ave,3.0,2.0,1195000,1464.0,1873.0,1938,94122,4800,1359400,0.67,Outer Sunset,Aaron M Bellings,Compass,Contemporary,1938,2.5
109,595.0,Santa Clara,Santa Clara County,CA,151 Buckingham Dr UNIT 229,2.0,2.0,750000,1260.0,8884.478927203065,1969,95051,2949,821000,0.77,,Anthony Chen,Veritas Homes,,1969,
110,504.0,San Francisco,San Francisco County,CA,1510-1512 Castro St,3.0,2.0,1385000,2750.0,2000.0,1895,94114,6325,,0.67,Noe Valley,Meryl K. Bennan,BarbCo,Victorian,1895,2.5
111,1250.0,San Francisco,San Francisco County,CA,1515 Noe St,4.0,3.0,2295000,1836.0,2000.0,1912,94131,6499,2430100,0.67,Noe Valley,Annie M. Williams,Sotheby's International Realty,Craftsman,1912,2.5
112,475.0,San Francisco,San Francisco County,CA,1533 Thomas Ave,6.0,2.0,989000,2080.0,3746.0,1907,94124,,,0.67,Bayview,Karen A. Mai,Coldwell Banker Realty,,1907,2.5
114,764.0,San Jose,Santa Clara County,CA,1537 Carmel Dr,4.0,3.0,1498000,1961.0,6202.0,1971,95125,4699,1521032,0.77,Willow Glen,Teri Fortino,Compass,,1971,
115,900.0,San Francisco,San Francisco County,CA,154 Prentiss St,3.0,2.0,1895000,2105.0,1751.0,1909,94110,5994,2093400,0.67,Bernal Heights,Todd E. Gray,Sotheby's International Realty,Edwardian,1909,2.5
116,919.2081850533808,San Francisco,San Francisco County,CA,1545 Eucalyptus Dr,2.0,1.0,1295000,0.0,3131.0,1950,94132,,,0.67,Lakeshore,Shameran Anderer,BarbCo,"Mid-Century,Traditional",1950,2.5
117,1007.0,San Francisco,San Francisco County,CA,1552-1554 Chestnut St,4.0,0.0,2845000,2826.0,3438.0,1923,94123,6600,2907715,0.67,Marina District,Scott P. Brittain,Sotheby's International Realty,Marina,1923,2.5
118,1066.0,San Francisco,San Francisco County,CA,1557 Church St,3.0,2.0,2095000,1965.0,1999.0,1919,94131,,,0.67,Noe Valley,Cece A. Doricko,Compass,Craftsman,1919,2.5
119,1086.0,San Francisco,San Francisco County,CA,156 12th Ave #2,3.0,3.0,2350000,2164.0,3037.0,2005,94118,9499,2350020,0.67,Inner Richmond,Theresa N. Sabella,"Sabella, Theresa",,2005,2.5
120,632.0,San Jose,Santa Clara County,CA,1583-1581 Willowbrae Ave,4.0,2.2530755711775043,1500000,2374.0,9561.0,1955,95125,,,0.77,Willow Glen,Linda Fiala-Castro,Coldwell Banker Realty,Other,1955,
121,949.0,San Francisco,San Francisco County,CA,1587 15th St APT 501,2.0,1.0,995000,1048.0,8670.0,2007,94103,4495,1032312,0.67,Mission,Colleen M. Cotter,Vanguard Properties,Modern/High Tech,2007,2.5
122,634.0,San Jose,Santa Clara County,CA,1597 Foley Ave,4.0,3.0,995300,1570.0,5702.0,1959,95122,3949,919500,0.77,East San Jose,Michael Guerra,Guerra Realty Co.,,1959,
123,1207.0,San Francisco,San Francisco County,CA,1600 Webster St APT 201,2.0,2.0,1575000,1305.0,18979.0,2005,94115,,,0.67,Japantown,Grant Edward Beggs,Sotheby's International Realty,,2005,2.5
124,863.0,San Jose,Santa Clara County,CA,1601 Fairway Green Cir,2.0,2.0,948000,1098.0,8884.478927203065,1988,95131,3200,976900,0.77,North Valley,Joyce Hung,Maxreal,,1988,
125,618.0,San Francisco,San Francisco County,CA,1608 Lyon St,4.0,1.0,2800000,4530.0,3746.0,1900,94115,6434,2803333,0.67,Lower Pacific Heights,Robert R. Callan Jr.,Sotheby's International Realty,Victorian,1900,2.5
126,655.0,San Francisco,San Francisco County,CA,1631 25th Ave,3.0,3.0,1650000,2520.0,2996.0,1928,94122,6999,,0.67,Outer Sunset,Romeo Aurelio,Century 21 Real Estate Allianc,Traditional,1928,2.5
127,507.0,San Francisco,San Francisco County,CA,1635 Kirkwood Ave,4.0,3.0,949000,1871.0,2495.0,1907,94124,6195,,0.67,Bayview,Daniel Flores,Compass,Edwardian,1907,2.5
128,249.0,San Jose,Santa Clara County,CA,165 Blossom Way #324,3.0,2.0,359000,1440.0,8884.478927203065,1998,95123,,,0.77,Blossom Valley,Adriana Gomez,,,1998,
129,798.0,Santa Clara,Santa Clara County,CA,1651-1653 Nobili Ave,4.0,2.2530755711775043,1240000,1554.0,9413.0,1950,95051,,,0.77,,Trent Davis,Willowmar Real Estate,,1950,
130,993.0,San Jose,Santa Clara County,CA,1652 Glenhurst Dr,4.0,2.0,1648000,1660.0,5854.0,1961,95124,4462,1586199,0.77,Cambrian Park,John Van Dyk,Intero Real Estate Services,,1961,
131,921.0,San Francisco,San Francisco County,CA,1667 Turk St,3.0,3.0,1899000,2061.0,2038.0,1994,94115,8500,2047600,0.67,Western Addition,Bonnie K. Spindler,Corcoran Global Living,Contemporary,1994,2.25
